Item type,Authors,Title,Journal,Full journal,Publication year,Volume,Issue,Pages,Folders filed in,Labels filed in,Publisher,Address,Book title,Date published,Date accessed,ISSN,ISSN (alt.),URLs,DOI,PMID,PMC ID,Abstract,Keywords,Affiliation,Language,Sub-type,School
Journal Article,"Samuk KM,LeDue EE,Avilés L",Sister clade comparisons reveal reduced maternal care behavior in social cobweb spiders,Behav. Ecol.,Behavioral ecology: official journal of the International Society for Behavioral Ecology,2012,23,1,35-43,Samuk Publication List,,Oxford Academic,,,2012-01,6/22/2020,1045-2249,,"https://academic.oup.com/beheco/article-abstract/23/1/35/232861;http://dx.doi.org/10.1093/beheco/arr146;https://scholar.google.ca/scholar?cluster=16372270257749266455&hl=en&as_sdt=0,5&sciodt=0,5",10.1093/beheco/arr146,,,"Animals living in cooperative groups experience fundamentally different environments than their nonsocial relatives, potentially changing the strength of natural selection on some aspects of their behavior. Using a comparative approach, we examined a potential example of this phenomenon: an association between reduced levels of maternal care behavior and sociality in cobweb spiders. We compared 6 different measures of maternal care behavior between species from 2 independently derived social clades and subsocial species from sister clades. In natural nests, we measured the mean distance between egg sacs and the nearest female and the proportion of egg sacs being attended. In the lab, we measured a female’s willingness to accept an egg sac, abandon her egg sac when disturbed, repair a damaged egg sac, and the speed at which a female reclaimed her egg sac when separated from it. Social species from both social clades scored significantly lower than subsocial species from sister clades on 6 and 4 of 6 of these assays of maternal care, respectively. We discuss alternative explanations of this pattern, including the potential role of relaxed natural selection in a social environment in permitting the evolution of a novel “low-parenting” phenotype.",,,,,
Journal Article,Samuk K,Commentary: Inversions and the origin of behavioral differences in cod,Mol. Ecol.,Molecular ecology,2016,25,10,2111-2113,Samuk Publication List,,,,,2016-05,,0962-1083,1365-294X,"http://dx.doi.org/10.1111/mec.13624;https://www.ncbi.nlm.nih.gov/pubmed/27213696;https://doi.org/10.1111/mec.13624;https://scholar.google.ca/scholar?cluster=13505566280484326718&hl=en&as_sdt=0,5&sciodt=0,5;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/mec.13624",10.1111/mec.13624,27213696,,"How does adaptation manage to occur in the face of overwhelming gene flow? One popular idea is that the suppression of recombination, for example the fixation of a chromosomal inversion, can maintain linkage disequilibrium between groups of locally adapted alleles that would otherwise be degraded by gene flow. This idea has captured the imagination of many geneticists and evolutionary biologists, but we still have only a basic understanding of its general importance. In this issue of Molecular Ecology, Kirubakaran et al. () examine the role of recombination suppression in a particularly fascinating example of adaptation in the face of gene flow: the evolution of migratory differences between interbreeding populations of cod. Along the north coast of Norway, two types of cod breed in the near-shore waters: a 'stationary' form that lives near the coast year round, and a 'migratory' form that lives far offshore and only returns to the coast to breed. Using a combination of approaches, Kirubakaran et al. () deftly demonstrate that the migratory form has completely fixed two adjacent inversions containing a suite of genes closely connected to migratory behaviour and feeding differences. This work provides an excellent example of how recombination suppression can facilitate adaptive divergence, and helps us understand the geographic and temporal scales over which genomic structural variation evolves.",adaptation; fish; genomics/proteomics; hybridization,"Department of Zoology, University of British Columbia, 6270 University Boulevard, Vancouver, British Columbia, V6T1Z4, Canada.",en,Research Article,
Journal Article,"Samuk K,Iritani D,Schluter D",Reversed brain size sexual dimorphism accompanies loss of parental care in white sticklebacks,Ecol. Evol.,Ecology and evolution,2014,4,16,3236-3243,Samuk Publication List,,,,,2014-08,,2045-7758,,"http://dx.doi.org/10.1002/ece3.1175;https://www.ncbi.nlm.nih.gov/pubmed/25473476;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4222210;https://doi.org/10.1002/ece3.1175;https://scholar.google.ca/scholar?cluster=14624895625694298098&hl=en&as_sdt=0,5&sciodt=0,5",10.1002/ece3.1175,25473476,PMC4222210,"Uncovering factors that shape variation in brain morphology remains a major challenge in evolutionary biology. Recently, it has been shown that brain size is positively associated with level of parental care behavior in various taxa. One explanation for this pattern is that the cognitive demands of performing complex parental care may require increased brain size. This idea is known as the parental brain hypothesis (PBH). We set out to test the predictions of this hypothesis in wild populations of threespine stickleback (Gasterosteus aculeatus). These fish are commonly known to exhibit (1) uniparental male care and (2) sexual dimorphism in brain size (males>females). To test the PBH, we took advantage of the existence of closely related populations of stickleback that display variation in parental care behavior: common marine threespine sticklebacks (uniparental male care) and white threespine sticklebacks (no care). To begin, we quantified genetic differentiation among two common populations and three white populations from Nova Scotia. We found overall low differentiation among populations, although F ST was increased in between-type comparisons. We then measured the brain weights of males and females from all five populations along with two additional common populations from British Columbia. We found that sexual dimorphism in brain size is reversed in white stickleback populations: males have smaller brains than females. Thus, while several alternatives need to be ruled out, the PBH appears to be a reasonable explanation for sexual dimorphism in brain size in threespine sticklebacks.",Adaptation; Parental care; brain size; fish; stickleback,"Department of Zoology and Biodiversity Research Centre, University of British Columbia Vancouver, British Columbia, Canada.",en,Research Article,
Journal Article,"Samuk K,Owens GL,Delmore KE,Miller SE,Rennison DJ,Schluter D",Gene flow and selection interact to promote adaptive divergence in regions of low recombination,Mol. Ecol.,Molecular ecology,2017,26,17,4378-4390,Samuk Publication List,,,,,2017-09,,0962-1083,1365-294X,"http://dx.doi.org/10.1111/mec.14226;https://www.ncbi.nlm.nih.gov/pubmed/28667780;https://doi.org/10.1111/mec.14226;https://scholar.google.ca/scholar?cluster=15175958093248136357&hl=en&as_sdt=0,5&sciodt=0,5;http://onlinelibrary.wiley.com/doi/10.1111/mec.14226/full;http://onlinelibrary.wiley.com/doi/10.1111/mec.14226/pdf",10.1111/mec.14226,28667780,,"Adaptation to new environments often occurs in the face of gene flow. Under these conditions, gene flow and recombination can impede adaptation by breaking down linkage disequilibrium between locally adapted alleles. Theory predicts that this decay can be halted or slowed if adaptive alleles are tightly linked in regions of low recombination, potentially favouring divergence and adaptive evolution in these regions over others. Here, we compiled a global genomic data set of over 1,300 individual threespine stickleback from 52 populations and compared the tendency for adaptive alleles to occur in regions of low recombination between populations that diverged with or without gene flow. In support of theory, we found that putatively adaptive alleles (FST and dXY outliers) tend to occur more often in regions of low recombination in populations where divergent selection and gene flow have jointly occurred. This result remained significant when we employed different genomic window sizes, controlled for the effects of mutation rate and gene density, controlled for overall genetic differentiation, varied the genetic map used to estimate recombination and used a continuous (rather than discrete) measure of geographic distance as proxy for gene flow/shared ancestry. We argue that our study provides the first statistical evidence that the interaction of gene flow and selection biases divergence toward regions of low recombination.",adaptation; gene flow; genomics; hybridization; population genetics-empirical,"Department of Zoology, Biodiversity Research Centre, University of British Columbia, Vancouver, BC, Canada. Department of Botany, University of British Columbia, Vancouver, BC, Canada. Max Planck Institute for Evolutionary Biology, Plön, Germany. Department of Neurobiology and Behavior, Cornell University, Ithaca, NY, USA. Institut fur Okologie und Evolution, Universitat Bern, Bern, Switzerland.",en,Research Article,
Journal Article,"Rennison DJ,Delmore KE,Samuk K,Owens GL,Miller SE",Shared Patterns of Genome-Wide Differentiation Are More Strongly Predicted by Geography Than by Ecology,Am. Nat.,The American naturalist,2020,195,2,192-200,Samuk Publication List,,,,,2020-02,,0003-0147,1537-5323,http://dx.doi.org/10.1086/706476;https://www.ncbi.nlm.nih.gov/pubmed/32017617;https://doi.org/10.1086/706476;https://www.journals.uchicago.edu/doi/full/10.1086/706476;https://www.journals.uchicago.edu/doi/pdf/10.1086/706476,10.1086/706476,32017617,,"Closely related populations often display similar patterns of genomic differentiation, yet it remains an open question which ecological and evolutionary forces generate these patterns. The leading hypothesis is that this similarity in divergence is driven by parallel natural selection. However, several recent studies have suggested that these patterns may instead be a product of the depletion of genetic variation that occurs as result of background selection (i.e., linked negative selection). To date, there have been few direct tests of these competing hypotheses. To determine the relative contributions of background selection and parallel selection to patterns of repeated differentiation, we examined 24 independently derived populations of freshwater stickleback occupying a variety of niches and estimated genomic patterns of differentiation in each relative to their common marine ancestor. Patterns of genetic differentiation were strongly correlated across pairs of freshwater populations adapting to the same ecological niche, supporting a role for parallel natural selection. In contrast to other recent work, our study comparing populations adapting to the same niche produced no evidence signifying that similar patterns of genomic differentiation are generated by background selection. We also found that overall patterns of genetic differentiation were considerably more similar for populations found in closer geographic proximity. In fact, the effect of geography on the repeatability of differentiation was greater than that of parallel selection. Our results suggest that shared selective landscapes and ancestral variation are the key drivers of repeated patterns of differentiation in systems that have recently colonized novel environments.",Gasterosteus aculeatus; adaptive evolution; genomics; natural selection; parallel evolution; threespine stickleback,,en,Research Article,
Journal Article,"Owens GL,Samuk K",Adaptive introgression during environmental change can weaken reproductive isolation,Nat. Clim. Chang.,Nature climate change,2020,10,1,58-62,Samuk Publication List,,,,,2020-01,,1758-678X,,https://doi.org/10.1038/s41558-019-0628-0;http://dx.doi.org/10.1038/s41558-019-0628-0;https://www.nature.com/articles/s41558-019-0628-0,10.1038/s41558-019-0628-0,,,"Anthropogenic climate change is an urgent threat to species diversity1,2. One aspect of this threat is the merging of species through increased hybridization3. The primary mechanism for this collapse is thought to be the weakening of ecologically mediated reproductive barriers, as demonstrated in cases of ‘reverse speciation’4,5. Here, we expand on this idea and show that adaptive introgression between species adapting to a shared, moving climatic optimum can readily weaken any reproductive barrier, including those that are completely independent of climate. Using genetically explicit forward-time simulations, we show that genetic linkage between alleles conferring adaptation to a changing climate and alleles conferring reproductive isolation (intrinsic and/or non-climatic extrinsic) can lead to adaptive introgression facilitating the homogenization of reproductive isolation alleles. This effect causes the decay of species boundaries across a broad and biologically realistic parameter space. We explore how the magnitude of this effect depends on the rate of climate change, the genetic architecture of adaptation, the initial degree of reproductive isolation, the degree to which reproductive isolation is intrinsic versus extrinsic and the mutation rate. These results highlight a previously unexplored effect of rapid climate change on species diversity.",,,,,
Journal Article,"Samuk K,Manzano-Winkler B,Ritz KR,Noor MAF",Natural Selection Shapes Variation in Genome-wide Recombination Rate in Drosophila pseudoobscura,Curr. Biol.,Current biology: CB,2020,30,8,1517-1528.e6,Samuk Publication List,,,,,2020-04,,0960-9822,1879-0445,http://dx.doi.org/10.1016/j.cub.2020.03.053;https://www.ncbi.nlm.nih.gov/pubmed/32275873;https://linkinghub.elsevier.com/retrieve/pii/S0960-9822(20)30423-1;http://www.sciencedirect.com/science/article/pii/S0960982220304231;https://www.sciencedirect.com/science/article/abs/pii/S0960982220304231,10.1016/j.cub.2020.03.053,32275873,,"While recombination is widely recognized to be a key modulator of numerous evolutionary phenomena, we have a poor understanding of how recombination rate itself varies and evolves within a species. Here, we performed a comprehensive study of recombination rate (rate of meiotic crossing over) in two natural populations of Drosophila pseudoobscura from Utah and Arizona, USA. We used an amplicon sequencing approach to obtain high-quality genotypes in approximately 8,000 individual backcrossed offspring (17 mapping populations with roughly 530 individuals each), for which we then quantified crossovers. Interestingly, variation in recombination rate within and between populations largely manifested as differences in genome-wide recombination rate rather than remodeling of the local recombination landscape. Comparing populations, we discovered individuals from the Utah population displayed on average 8% higher crossover rates than the Arizona population, a statistically significant difference. Using a QST-FST analysis, we found that this difference in crossover rate was dramatically higher than expected under neutrality, indicating that this difference may have been driven by natural selection. Finally, using a combination of short- and long-read whole-genome sequencing, we found no significant association between crossover rate and structural variation at the 200-400 kb scale. Our results demonstrate that (1) there is abundant variation in genome-wide crossover rate in natural populations, (2) at the 200-400 kb scale, recombination rate appears to vary largely genome-wide, rather than in specific intervals, and (3) interpopulation differences in recombination rate may be the result of local adaptation.",Drosophila pseudoobscura; Q(ST)-F(ST); evolution; genetic map; meiosis; quantitative genetics; recombination rate; structural variation,"Department of Biology, Duke University, Durham, NC 27708, USA. Electronic address: ksamuk@gmail.com. Department of Biology, Duke University, Durham, NC 27708, USA.",en,Research Article,
Journal Article,"Ostevik KL,Samuk K,Rieseberg LH",Ancestral Reconstruction of Karyotypes Reveals an Exceptional Rate of Nonrandom Chromosomal Evolution in Sunflower,Genetics,Genetics,2020,214,4,1031-1045,Samuk Publication List,,,,,2020-04,,0016-6731,1943-2631,http://dx.doi.org/10.1534/genetics.120.303026;https://www.ncbi.nlm.nih.gov/pubmed/32033968;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7153943;http://www.genetics.org/cgi/pmidlookup?view=long&pmid=32033968;https://www.genetics.org/content/214/4/1031.abstract,10.1534/genetics.120.303026,32033968,PMC7153943,"Mapping the chromosomal rearrangements between species can inform our understanding of genome evolution, reproductive isolation, and speciation. Here, we present a novel algorithm for identifying regions of synteny in pairs of genetic maps, which is implemented in the accompanying R package syntR. The syntR algorithm performs as well as previous ad hoc methods while being systematic, repeatable, and applicable to mapping chromosomal rearrangements in any group of species. In addition, we present a systematic survey of chromosomal rearrangements in the annual sunflowers, which is a group known for extreme karyotypic diversity. We build high-density genetic maps for two subspecies of the prairie sunflower, Helianthus petiolaris ssp. petiolaris and H. petiolaris ssp. fallax Using syntR, we identify blocks of synteny between these two subspecies and previously published high-density genetic maps. We reconstruct ancestral karyotypes for annual sunflowers using those synteny blocks and conservatively estimate that there have been 7.9 chromosomal rearrangements per million years, a high rate of chromosomal evolution. Although the rate of inversion is even higher than the rate of translocation in this group, we further find that every extant karyotype is distinguished by between one and three translocations involving only 8 of the 17 chromosomes. This nonrandom exchange suggests that specific chromosomes are prone to translocation and may thus contribute disproportionately to widespread hybrid sterility in sunflowers. These data deepen our understanding of chromosome evolution and confirm that Helianthus has an exceptional rate of chromosomal rearrangement that may facilitate similarly rapid diversification.",Helianthus; chromosomal rearrangement; dot plot; syntR; synteny block,"Department of Biology, Duke University, Durham, North Carolina 27701 kate.ostevik@gmail.com. Department of Botany, University of British Columbia, Vancouver, British Columbia V6T 1Z4, Canada. Department of Biology, Duke University, Durham, North Carolina 27701.",en,Research Article,
Ph.D. Thesis,Samuk KM,The evolutionary genomics of adaptation and speciation in the threespine stickleback,,,2016,,,,Samuk Publication List,,open.library.ubc.ca,,,2016-06,,,,"https://open.library.ubc.ca/collections/ubctheses/24/items/1.0307145;https://scholar.google.ca/scholar?cluster=14740382317197172583&hl=en&as_sdt=0,5&sciodt=0,5;https://open.library.ubc.ca/media/download/pdf/24/1.0307145/3",,,,"Description Speciation and adaptation are key processes in biological evolution. Speciation creates genealogically discrete lineages, whereas adaptation causes organisms to become better matched to their environments. In this thesis, I conducted three studies that advanced …",,,,Ph.D. Thesis,University of British Columbia
Journal Article,"Samuk K,Avilés L",Indiscriminate care of offspring predates the evolution of sociality in alloparenting social spiders,Behav. Ecol. Sociobiol.,Behavioral ecology and sociobiology,2013,67,8,1275-1284,Samuk Publication List,,Springer,,,2013-08,,0340-5443,1432-0762,"https://doi.org/10.1007/s00265-013-1555-0;http://dx.doi.org/10.1007/s00265-013-1555-0;https://link.springer.com/article/10.1007/s00265-013-1555-0;https://scholar.google.ca/scholar?cluster=16258902159712445537&hl=en&as_sdt=0,5&sciodt=0,5",10.1007/s00265-013-1555-0,,,"Alloparental care—the care of other’s offspring—is a key aspect of sociality in many groups of animals. Understanding how this complex behavior arises requires identifying both the selective forces that may favor it, as well as characteristics of particular lineages that facilitate or hinder its evolution. One potential hindrance is the existence of discrimination against foreign offspring, an obstacle that would need to be overcome in order for alloparental care to evolve. In this study, we explored whether offspring discrimination may have constrained the evolution of alloparental care in social spiders in the genus Anelosimus. Social spiders are known for their cooperative behaviors, which include alloparental care. After quantitatively assessing the extent of alloparenting in the care of egg sacs in natural nests of these spiders, we investigated whether discrimination against foreign egg sacs existed in ancestral pre-social species in the genus. We did so by testing for discrimination between a female’s own and foreign egg sacs in three subsocial sister taxa of each social species investigated. We found no detectable evidence of discrimination in the care of egg sacs by female Anelosimus, regardless of level of sociality. We used these data, along with those from previous studies, to infer that a lack of discrimination is likely the ancestral state in the genus Anelosimus. This supports the idea that offspring discrimination was not a constraint on the evolution of alloparental care in social Anelosimus species. We discuss the evolutionary implications of this finding, and suggest that lack of offspring discrimination may have eased the transition from solitary to cooperative breeding.",,,,,
