title,url,pdf,data,code
Sister clade comparisons reveal reduced maternal care behavior in social cobweb spiders,https://doi.org/10.1093/beheco/arr146,samuk_et_al_2011_behaveecol.pdf,,
Commentary: Inversions and the origin of behavioral differences in cod,https://doi.org/10.1111/mec.13624,samuk_2016_molecol.pdf,,
Reversed brain size sexual dimorphism accompanies loss of parental care in white sticklebacks,https://doi.org/10.1002/ece3.1175,samuk_et_al_2014_ecoevo.pdf,,
Gene flow and selection interact to promote adaptive divergence in regions of low recombination,https://doi.org/10.1111/mec.14226,samuk_et_al_2017_mol_ecol.pdf,,
Shared Patterns of Genome-Wide Differentiation Are More Strongly Predicted by Geography Than by Ecology,https://doi.org/10.1086/706476,rennsion_et_al_2019.pdf,,
Adaptive introgression during environmental change can weaken reproductive isolation,https://doi.org/10.1038/s41558-019-0628-0,owens_samuk_2020.pdf,,
Natural Selection Shapes Variation in Genome-wide Recombination Rate in Drosophila pseudoobscura,https://doi.org/10.1016/j.cub.2020.03.053,samuk_et_al_2020.pdf,,
Ancestral Reconstruction of Karyotypes Reveals an Exceptional Rate of Nonrandom Chromosomal Evolution in Sunflower,https://doi.org/10.1534/genetics.120.303026,ostevik_et_al_2020.pdf,,
Indiscriminate care of offspring predates the evolution of sociality in alloparenting social spiders,https://doi.org/10.1007/s00265-013-1555-0,samuk_aviles_2013_besb.pdf,,
pixy: Unbiased estimation of nucleotide diversity and divergence in the presence of missing data,https://doi.org/10.1111/1755-0998.13326,korunes_samuk_2021.pdf,,
Disentangling Types of Linked Selection Using Patterns of Nucleotide Variation in Drosophila pseudoobscura,https://doi.org/10.1007/13836_2021_87,korunes_et_al_2021.pdf,,
Evolutionary dynamics of recent selection on cognitive abilities,https://doi.org/10.1073/pnas.1918592117,miller_et_al_2020.pdf,,
Exposure to predators does not lead to the evolution of larger brains in experimental populations of threespine stickleback,https://doi.org/10.1111/evo.13444,samuk_et_al_2018_evolution.pdf,,
An experimental test of the effect of predation upon behaviour and trait correlations in the threespine stickleback,https://doi.org/10.1111/bij.12790,miller_2016_bjls.pdf,,
